lag,acf,pacf
0,1.0,1.0
1,0.9851475749223608,0.9854619168416084
2,0.9680534281750381,-0.08535615325498434
3,0.9454682241463532,-0.1947238720073787
4,0.9171875307604994,-0.19237158285754338
5,0.8845210902432648,-0.12708053269178618
6,0.8472991556904808,-0.11723675154110573
7,0.807634418962892,-0.03478294560385706
8,0.7673631014479306,0.04058820911395549
9,0.7256492680695593,-0.0031474336274063893
10,0.6842214127904103,0.027856592712274388
11,0.6433225952093016,0.019199648966958898
12,0.6030242615700165,-0.00204708732085359
13,0.5648616284327983,0.03453120391665057
14,0.5271477786138642,-0.033518669427744514
15,0.4928171763299743,0.06163157337350035
16,0.461280444866332,0.04316231628385829
17,0.43189177187740363,0.007419380919546575
18,0.4048470778005814,-0.0063273876921401415
19,0.3798640851409992,-0.013131107732097318
20,0.3571665179221617,-0.0035949074420670375
21,0.3353997271870594,-0.052518364459933346
22,0.31553663684074723,0.005740941449594839
23,0.297727559959046,0.025689584702255415
24,0.2815943826566309,0.020289342853677644
25,0.26635030558607703,-0.010161123031581558
26,0.2527016860121644,0.012082932978871396
27,0.24000433319576522,-0.0009572804820142598
28,0.22890943818304366,0.013862533926798502
29,0.21829851393106903,-0.014079594911677054
30,0.20936956610802226,0.03687507837555097
31,0.20132594879795274,0.00924183834412193
32,0.19434252885154607,0.012734519350306958
33,0.18869188638753415,0.019076969924107186
34,0.18396040710092748,0.010565392957949914
35,0.17996149608876966,-0.008894867095614947
36,0.17678094277503184,-0.004997245233510521
37,0.17429777674722347,0.005489549279023518
38,0.17267414147800192,0.016792624694364943
39,0.17115971338472655,-0.01241510365006492
40,0.17000995894720092,0.001829803137758718
41,0.16915765505606375,0.001601895493452723
42,0.16765370926893894,-0.027523143681277718
43,0.16621033661746307,-0.007346572018180587
44,0.16409637555681714,-0.016704448655329118
45,0.1616820035603755,0.005728364646200641
46,0.15836508437230712,-0.019955206340564392
47,0.15480499846969906,0.014397653194628126
48,0.15028519137163107,-0.013940698658903043
49,0.14469780423959852,-0.022609099179380896
50,0.13853864176306663,-0.006046492257908203
51,0.1316028688485472,-0.009238659276587399
52,0.12370598559287312,-0.014042499216791392
53,0.11562461332442318,0.012034935810823447
54,0.10705384587906963,0.0006032018024822242
55,0.09780645989525169,-0.01067229828262554
56,0.08815599919185381,-0.015871563491784188
57,0.07885570306293957,0.01915431397700569
58,0.06939563965386451,-0.011102598731185616
59,0.06015704960637681,0.005850800505222725
60,0.050995264451814626,-0.006644467626164589
61,0.04246025567547369,0.011235914307196837
62,0.03468210807064804,0.01669111055665601
63,0.027508803704155205,0.0025395390654600674
64,0.021194160981480983,0.0073747445982157295
65,0.015564366680188048,-0.0024571643630975993
66,0.010430191278610912,-0.012807926846203322
67,0.006080560791757336,-0.002357717739099575
68,0.0025697670087247272,0.010812931005833774
69,8.197253969476259e-05,0.020208204956393885
70,-0.0017163004694582189,0.0029036796956156624
71,-0.0028062015265323623,0.0028269197790419536
72,-0.0031764816720953244,0.004803752231817353
73,-0.0026561250502987084,0.008653819611335404
74,-0.001584303511361959,-0.0006779810225379422
75,-0.0004155514311354864,-0.017835508152106706
76,0.0017676595113694604,0.02844391638919985
77,0.004774554181656063,0.022117287073568866
78,0.00780700235568136,-0.009450254961122454
79,0.011737924831328555,0.02157246752857474
80,0.015810449869794116,-0.0018972562655445303
81,0.020791010977557554,0.016902330486687326
82,0.02612447422504713,0.003061384585850206
83,0.03157872874022094,0.0016737276469688614
84,0.03745211818948083,0.010341145482248343
85,0.04384528782505968,0.016650154159574135
86,0.05059694876366034,0.01782989984671395
87,0.05733948372160122,-0.0031832087247396046
88,0.06363262536567615,-0.018623865912354154
89,0.06993204271766404,-0.0038688093392320305
90,0.07674313494374836,0.0308452483603568
91,0.08280137309399732,-0.00607403876429494
92,0.0887781931449721,0.006407149635374324
93,0.09416865620736145,-0.0015063670060055465
94,0.0989887309066892,-0.0048723637185308765
95,0.10361873176823215,0.010623152933501337
96,0.10758616478153318,0.00036298798996873383
