Datetime,observed,trend,seasonal,resid
2022-10-01 08:00:00,7.094,,-0.18922264190413013,
2022-10-01 08:30:00,7.307,,-0.1890105650812133,
2022-10-01 09:00:00,7.394,,-0.22308543487287985,
2022-10-01 09:30:00,7.467,,-0.22523175648746288,
2022-10-01 10:00:00,7.51,,-0.25126854034163,
2022-10-01 10:30:00,7.63,,-0.27220848174787965,
2022-10-01 11:00:00,7.823,,-0.26879197784163017,
2022-10-01 11:30:00,7.933,,-0.3083491067478799,
2022-10-01 12:00:00,7.922,,-0.30833331898746325,
2022-10-01 12:30:00,7.882,,-0.3059343932062136,
2022-10-01 13:00:00,7.851,,-0.32012628773746304,
2022-10-01 13:30:00,7.848,,-0.29656655466454657,
2022-10-01 14:00:00,7.883,,-0.2979905455499634,
2022-10-01 14:30:00,7.9,,-0.26242332549788017,
2022-10-01 15:00:00,8.915,,-0.22236440622704634,
2022-10-01 15:30:00,9.619,,-0.1836118020603798,
2022-10-01 16:00:00,10.011,,-0.11250877471663012,
2022-10-01 16:30:00,11.224,,-0.06877765492496338,
2022-10-01 17:00:00,10.832,,0.015504897158370026,
2022-10-01 17:30:00,10.654,,0.0891624492417033,
2022-10-01 18:00:00,10.644,,0.20166847137712,
2022-10-01 18:30:00,10.881,,0.26215040497087,
2022-10-01 19:00:00,11.091,,0.26800782684587016,
2022-10-01 19:30:00,10.511,,0.3609026836167035,
2022-10-01 20:00:00,10.372,9.548354166666666,0.366887942530966,0.45675789080236784
2022-10-01 20:30:00,10.783,9.605145833333333,0.41528617971045345,0.7625679869562128
2022-10-01 21:00:00,10.234,9.658864583333333,0.39693569894122266,0.17819971772544424
2022-10-01 21:30:00,10.762,9.710635416666666,0.40768666047968416,0.6436779228536508
2022-10-01 22:00:00,10.247,9.759708333333332,0.3492425899668636,0.13804907669980399
2022-10-01 22:30:00,10.186,9.8054375,0.3356911476591713,0.04487135234082862
2022-10-01 23:00:00,10.08,9.84736458333333,0.2831161476591714,-0.05048073099250211
2022-10-01 23:30:00,10.305,9.886510416666667,0.3173895450950687,0.10110003823826413
2022-10-02 00:00:00,10.168,9.924989583333334,0.2562943527873766,-0.013283936120711048
2022-10-02 00:30:00,10.075,9.963697916666668,0.19914771817199184,-0.08784563483866026
2022-10-02 01:00:00,9.854,10.001708333333331,0.16422528227455638,-0.31193361560788857
2022-10-02 01:30:00,10.15,10.0391875,0.13508473740276097,-0.024272237402761215
2022-10-02 02:00:00,10.207,10.076666666666666,0.10253377586429942,0.027799557469035105
2022-10-02 02:30:00,10.262,10.11371875,0.10594435278737645,0.042336897212623695
2022-10-02 03:00:00,10.16,10.1395625,0.04586021817199195,-0.025422718171992063
2022-10-02 03:30:00,10.227,10.146458333333332,0.017898614606286552,0.06264305206038218
2022-10-02 04:00:00,10.191,10.141666666666666,0.0009967591375369357,0.04833657419579807
2022-10-02 04:30:00,10.184,10.119927083333334,-0.03142316273746346,0.09549607940412905
2022-10-02 05:00:00,10.188,10.08915625,-0.06524559112287995,0.1640893411228803
2022-10-02 05:30:00,10.178,10.064208333333333,-0.11487124216454686,0.22866290883121448
2022-10-02 06:00:00,10.202,10.040802083333332,-0.12146287627912977,0.28266079294579727
2022-10-02 06:30:00,10.12,10.014718749999998,-0.12458299346662988,0.22986424346663076
2022-10-02 07:00:00,9.989,9.983833333333333,-0.1643058124770464,0.16947247914371405
2022-10-02 07:30:00,9.954,9.95646875,-0.16992120961246332,0.16745245961246308
2022-10-02 08:00:00,9.928,9.93628125,-0.18922264190413013,0.18094139190413056
2022-10-02 08:30:00,9.925,9.912947916666669,-0.1890105650812133,0.20106264841454527
2022-10-02 09:00:00,9.933,9.890562499999998,-0.22308543487287985,0.26552293487288176
2022-10-02 09:30:00,9.898,9.867947916666665,-0.22523175648746288,0.2552838398207973
2022-10-02 10:00:00,9.79,9.845072916666668,-0.25126854034163,0.19619562367496118
2022-10-02 10:30:00,9.74,9.828093749999999,-0.27220848174787965,0.1841147317478809
2022-10-02 11:00:00,9.738,9.812499999999998,-0.26879197784163017,0.1942919778416315
2022-10-02 11:30:00,9.776,9.795343749999999,-0.3083491067478799,0.2890053567478808
2022-10-02 12:00:00,9.773,9.777145833333334,-0.30833331898746325,0.30418748565412906
2022-10-02 12:30:00,9.747,9.761208333333334,-0.3059343932062136,0.2917260598728793
2022-10-02 13:00:00,9.635,9.748260416666668,-0.32012628773746304,0.2068658710707953
2022-10-02 13:30:00,9.662,9.734072916666666,-0.29656655466454657,0.22449363799788186
2022-10-02 14:00:00,9.667,9.715666666666667,-0.2979905455499634,0.24932387888329588
2022-10-02 14:30:00,9.673,9.695791666666667,-0.26242332549788017,0.23963165883121362
2022-10-02 15:00:00,9.623,9.676427083333333,-0.22236440622704634,0.16893732289371222
2022-10-02 15:30:00,9.573,9.65740625,-0.1836118020603798,0.0992055520603809
2022-10-02 16:00:00,9.597,9.637833333333333,-0.11250877471663012,0.07167544138329662
2022-10-02 16:30:00,9.551,9.61846875,-0.06877765492496338,0.001308904924963633
2022-10-02 17:00:00,9.551,9.59896875,0.015504897158370026,-0.06347364715836903
2022-10-02 17:30:00,9.54,9.579406249999998,0.0891624492417033,-0.12856869924170228
2022-10-02 18:00:00,9.511,9.559562499999998,0.20166847137712,-0.25023097137711914
2022-10-02 18:30:00,9.51,9.540125000000002,0.26215040497087,-0.29227540497087173
2022-10-02 19:00:00,9.497,9.522645833333332,0.26800782684587016,-0.2936536601792022
2022-10-02 19:30:00,9.478,9.5066875,0.3609026836167035,-0.3895901836167037
2022-10-02 20:00:00,9.467,9.49121875,0.366887942530966,-0.3911066925309653
2022-10-02 20:30:00,9.448,9.475854166666666,0.41528617971045345,-0.4431403463771193
2022-10-02 21:00:00,9.42,9.460239583333333,0.39693569894122266,-0.437175282274556
2022-10-02 21:30:00,9.405,9.444906249999997,0.40768666047968416,-0.44759291047968197
2022-10-02 22:00:00,9.408,9.431083333333332,0.3492425899668636,-0.3723259233001958
2022-10-02 22:30:00,9.395,9.418687499999999,0.3356911476591713,-0.3593786476591707
2022-10-02 23:00:00,9.374,9.406572916666667,0.2831161476591714,-0.3156890643258376
2022-10-02 23:30:00,9.364,9.393958333333332,0.3173895450950687,-0.34734787842840004
2022-10-03 00:00:00,9.362,9.380864583333333,0.2562943527873766,-0.27515893612070913
2022-10-03 00:30:00,9.351,9.367864583333334,0.19914771817199184,-0.21601230150532547
2022-10-03 01:00:00,9.335,9.356135416666666,0.16422528227455638,-0.18536069894122123
2022-10-03 01:30:00,9.307,9.345291666666666,0.13508473740276097,-0.17337640406942692
2022-10-03 02:00:00,9.283,9.334072916666667,0.10253377586429942,-0.15360669253096687
2022-10-03 02:30:00,9.278,9.322541666666666,0.10594435278737645,-0.15048601945404205
2022-10-03 03:00:00,9.285,9.311302083333333,0.04586021817199195,-0.07216230150532446
